id,type,text1,text2,text3,text4,notes,,,
# Types: WEAPON,SHIP,RESOURCE,CUSTOM,ACTION_TOOLTIP,ASTEROID,PLANET,SHIP_SYSTEM,FACTION,TERRAIN
#SYSTEMS,,,,,,,,,
w_w_infernburn,SHIP_SYSTEM,"Engages both primary and secondary burns on the system travel drive of the ship. This burn can be maintained indefinitely at the expense of all flux dissipation, as heat sinks and coolant banks are focused on regulating drive temperature.

",Movement,Provides a massive speed boost at the expense of all flux dissipation.,,The ship's top speed is increased by {{100}}.,,,
w_w_bypass,SHIP_SYSTEM,"An elaborate set of system overrides that leverages a collection of auxillary ammofeeders, embedded capacitors and secondary burn chambers to greatly increase overall performance - at the cost of all flux dissipation.
",Unleashing,Increases overall combat performance at the cost of all flux dissipation.,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
#FIGHTERS,,,,,,,,,
w_w_sawtooth,SHIP,"The brainchild of a mad genius hopped up on Eochu Bres’s finest product, the Sawtooth’s claim to fame is that of an original pirate design.
Hacked together from blueprints of varying quality, its patchwork appearance belies its power.
",,,,,,,
w_w_munga,SHIP,"This light survey pod is equipped with a relatively long-range control transmitter. In the tumultuous cycles following the Collapse, many legitimate(and shady) mining/exploratory concerns in the Sector have taken advantage of the drone frame's relative sturdiness and flexible engineering tolerances to install a Sleet Torpedo in place of the old flare launching apparatus.
",,,,,,,
,,,,,,,,,
,,,,,,,,,
#FRIGATES,,,,,,,,,
w_w_alc,SHIP,"An exceedingly fast vessel for its size, the Alacrity-class strike frigate offers energy or missile firepower, as well as an efficient, but narrow shield.
Its miniaturised advanced propulsion system, borrowed from the Shrike, offers it the element of surprise: darting into enemy formations at the first sign of contact, striking, and swiftly escaping before a counterattack can be mounted.
Its hull and armour were sacrificed for the sake of economics: a relatively light, mass-producible hull prioritizing attack speed simply must have minimal mass.
This has led to the Alacrity gaining a reputation as a glass cannon best entrusted to the most skilled captains, not unlike its larger cousin.

The propulsion system’s sensitivity to certain oxygen-rich atmospheres often give quartermasters grey hairs - replacement components often cost a pretty penny.
",,"
",,,,,
